goos: linux
goarch: amd64
pkg: golang.org/x/crypto/chacha20poly1305
cpu: Intel(R) Core(TM) i9-14900K
BenchmarkChacha20Poly1305/Open-1350-X-16     	  678938	       523.2 ns/op	2580.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  678098	       522.5 ns/op	2583.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  677808	       528.3 ns/op	2555.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  678648	       529.8 ns/op	2548.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  679974	       537.1 ns/op	2513.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  678682	       529.2 ns/op	2550.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  675224	       530.1 ns/op	2546.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  650192	       527.9 ns/op	2557.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  657380	       538.3 ns/op	2507.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  657657	       540.5 ns/op	2497.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  657684	       554.6 ns/op	2434.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  657170	       545.3 ns/op	2475.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  656520	       548.8 ns/op	2460.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  656388	       549.2 ns/op	2458.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  657394	       540.3 ns/op	2498.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  658389	       552.8 ns/op	2442.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  657652	       539.1 ns/op	2504.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  655054	       546.3 ns/op	2471.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  153291	      2339 ns/op	3501.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  151855	      2386 ns/op	3433.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  150457	      2359 ns/op	3473.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  153231	      2364 ns/op	3464.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  153386	      2343 ns/op	3496.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  153292	      2347 ns/op	3489.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  153354	      2317 ns/op	3535.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  153355	      2324 ns/op	3525.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  153265	      2340 ns/op	3501.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	  152626	      2346 ns/op	3491.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  152986	      2390 ns/op	3427.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  152920	      2389 ns/op	3428.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  152721	      2361 ns/op	3469.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  152344	      2379 ns/op	3443.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  152311	      2358 ns/op	3474.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  150123	      2341 ns/op	3499.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  152812	      2359 ns/op	3473.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  152878	      2339 ns/op	3501.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  153129	      2385 ns/op	3434.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	  148591	      2367 ns/op	3460.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  148882	      2377 ns/op	3446.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  149616	      2435 ns/op	3364.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  149292	      2407 ns/op	3403.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  147990	      2422 ns/op	3382.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  148934	      2411 ns/op	3397.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  148963	      2402 ns/op	3409.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  149054	      2384 ns/op	3435.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  147655	      2399 ns/op	3415.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  146839	      2436 ns/op	3362.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	  148167	      2471 ns/op	3315.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  147990	      2501 ns/op	3275.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  143805	      2518 ns/op	3253.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  136737	      2432 ns/op	3368.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  149395	      2402 ns/op	3410.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  149283	      2405 ns/op	3406.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  147856	      2410 ns/op	3398.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  147830	      2411 ns/op	3398.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  148875	      2422 ns/op	3382.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  149208	      2378 ns/op	3444.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	  147764	      2487 ns/op	3293.90 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	golang.org/x/crypto/chacha20poly1305	49.657s
